05/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,7.9,-0.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,05/02/2023 21:02,0
06/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,1,-2.6,-10.8,-7.4,6,6,6,6,NA,NA,NA,NA,06/02/2023 09:03,0
06/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.1,-0.5,NA,NA,6,6,NA,NA,NA,NA,NA,NA,06/02/2023 21:02,0
07/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,2.1,-1.7,-9.2,-6.2,6,6,6,6,NA,NA,NA,NA,07/02/2023 09:03,0
07/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.2,-0.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,07/02/2023 21:02,0
08/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,3.7,-1.9,-6.4,-3.7,6,6,6,6,NA,NA,NA,NA,08/02/2023 09:03,0
08/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.3,-1.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,08/02/2023 21:02,0
09/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.3,1.4,-6.2,-3.1,6,6,6,6,NA,NA,NA,NA,09/02/2023 09:04,0
09/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.6,3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,09/02/2023 21:03,0
10/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,3.2,0.6,-6.3,-3.1,6,6,6,6,NA,NA,NA,NA,10/02/2023 09:04,0
10/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.1,2.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,10/02/2023 21:03,0
11/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,8.5,7.7,6.5,6.3,6,6,6,6,NA,NA,NA,NA,11/02/2023 09:04,0
11/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,10.3,8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,11/02/2023 21:02,0
12/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,8.2,6.1,4.9,5.4,6,6,6,6,NA,NA,NA,NA,12/02/2023 09:04,0
12/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.6,6.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,12/02/2023 21:03,0
13/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,6.7,5.7,5.2,5.4,6,6,6,6,NA,NA,NA,NA,13/02/2023 09:04,0
13/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.4,2.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,13/02/2023 21:03,0
14/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,2.3,-0.8,-8.8,-5.7,6,6,6,6,NA,NA,NA,NA,14/02/2023 09:04,0
14/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.6,0.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,14/02/2023 21:03,0
15/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,3.8,0.5,-7.4,-4.6,6,6,6,6,NA,NA,NA,NA,15/02/2023 09:05,0
15/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,11.9,3.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,15/02/2023 21:02,0
16/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,7.7,5.6,-2.2,0.6,6,6,6,6,NA,NA,NA,NA,16/02/2023 09:04,0
